disease_type,disease_name,href
Obstetrics ,"Remains
                        of embryonic tissue and fetal membranes",/disease/remains-of-embryonic-tissue-and-fetal-membranes
Ophthalmology ,Acute glaucoma,/disease/acute-glaucoma
Ophthalmology ,Cataract,/disease/cataract
Ophthalmology ,Congenital glaucoma,/disease/congenital-glaucoma
Ophthalmology ,Congenital lid nevus,/disease/congenital-lid-nevus
Ophthalmology ,Conjunctival adhesions,/disease/conjunctival-adhesions
Ophthalmology ,Cornea detachment,/disease/cornea-detachment
Ophthalmology ,Corneal damage,/disease/corneal-damage
Ophthalmology ,Corneal opacity,/disease/corneal-opacity
Ophthalmology ,Diabetic retinopathy,/disease/diabetic-retinopathy
Ophthalmology ,Ectropion eye,/disease/ectropion-eye
Ophthalmology ,Eye cancer,/disease/eye-cancer
Ophthalmology ,Eye vessels occlusion,/disease/eye-vessels-occlusion
Ophthalmology ,Eyelid tumor,/disease/eyelid-tumor
Ophthalmology ,Glaucoma,/disease/glaucoma
Ophthalmology ,"Glaucoma combined with
                        cataract",/disease/glaucoma-combined-with-cataract
Ophthalmology ,Keratoconus,/disease/keratoconus
Ophthalmology ,"Macular
                        degeneration",/disease/macular-retinal-degeneration-caused-by-diabetic-retinopathy-maculopathy
Ophthalmology ,Macular edema,/disease/macular-edema
Ophthalmology ,Medulloepithelioma,/disease/medulloepithelioma
Ophthalmology ,Myopia,/disease/myopia
Ophthalmology ,"Nystagmus, strabismus",/disease/nystagmus-strabismus
Ophthalmology ,"Ophthalmitis
                        caused by sjogrens syndrome",/disease/ophthalmitis-caused-by-sjogrens-syndrome
Ophthalmology ,Retina degeneration,/disease/retina-degeneration
Ophthalmology ,Retinal detachment,/disease/retinal-detachment
Ophthalmology ,Retinoblastoma,/disease/retinoblastoma
Ophthalmology ,Tear duct blocked,/disease/tear-duct-blocked
Ophthalmology ,"Traumatic injury of
                        eyeball",/disease/traumatic-injury-of-eyeball
Ophthalmology ,Vitreous degeneration,/disease/vitreous-degeneration
Ophthalmology ,Vitreous haze,/disease/vitreous-haze
"Oral and
        maxillofacial surgery ",Oral cancer,/disease/oral-cancer
"Oral and
        maxillofacial surgery ","Orbital
                        rhabdomyosarcoma",/disease/orbital-rhabdomyosarcoma-in-children
Orthopedics ,After osteosynthesis,/disease/after-osteosynthesis
Orthopedics ,Ankle joint arthrosis,/disease/ankle-joint-arthrosis
Orthopedics ,"Anterior cruciate
                        ligament injury",/disease/anterior-cruciate-ligament-injury
Orthopedics ,Chondroma,/disease/chondroma
Orthopedics ,Elbow arthritis,/disease/elbow-arthritis
Orthopedics ,Elbow bursitis,/disease/elbow-bursitis
Orthopedics ,Elbow joint arthrosis,/disease/elbow-joint-arthrosis
Orthopedics ,Ewing sarcoma,/disease/ewing-sarcoma
Orthopedics ,Femoral neck fracture,/disease/femoral-neck-fracture
Orthopedics ,Fractured femur,/disease/fractured-femur
Orthopedics ,Fractured forearm,/disease/fractured-forearm
Orthopedics ,Hip dysplasia,/disease/hip-dysplasia-in-infants
Orthopedics ,Hip impingement,/disease/hip-impingement
Orthopedics ,"Hip osteoarthritis
                        (coxarthrosis)",/disease/hip-osteoarthritis-coxarthrosis
Orthopedics ,Knee arthritis,/disease/knee-arthritis
Orthopedics ,Knee instability,/disease/knee-instability
Orthopedics ,Knee joint synovitis,/disease/knee-joint-synovitis
Orthopedics ,Lateral ligament injury,/disease/lateral-ligament-injury
Orthopedics ,Leg fracture,/disease/leg-fracture
Orthopedics ,Meniscus tear,/disease/meniscus-tear
Orthopedics ,Osteomyelitis,/disease/osteomyelitis
Orthopedics ,Osteosarcoma,/disease/osteosarcoma
Orthopedics ,Patellar dislocation,/disease/patellar-dislocation
Orthopedics ,Rotator cuff injury,/disease/rotator-cuff-injury
Orthopedics ,Short legs (limbs),/disease/short-legs-limbs
Orthopedics ,Shoulder arthritis,/disease/shoulder-arthritis
Orthopedics ,Shoulder fracture,/disease/shoulder-fracture
Orthopedics ,"Shoulder impingement
                        syndrome",/disease/shoulder-impingement-syndrome
Orthopedics ,Shoulder instability,/disease/shoulder-instability
Otolaryngology ,Acoustic meatus defect,/disease/acoustic-meatus-defect
Otolaryngology ,Ankyloglossia,/disease/ankyloglossia
Otolaryngology ,Broken nasal bone,/disease/broken-nasal-bone
Otolaryngology ,Cervical lipoma,/disease/cervical-lipoma
Otolaryngology ,Cervical neurinoma,/disease/cervical-neurinoma
Otolaryngology ,Cervical paraganglioma,/disease/cervical-paraganglioma
Otolaryngology ,"Chronic
                        sinus and maxillary sinus inflammation",/disease/chronic-sinus-and-maxillary-sinus-inflammation
Otolaryngology ,Chronic snoring,/disease/chronic-snoring
Otolaryngology ,Ear cancer,/disease/ear-cancer
Otolaryngology ,Ear cholesteatoma,/disease/ear-cholesteatoma
Otolaryngology ,Ear deformity,/disease/ear-deformity
Otolaryngology ,Fibroids neck,/disease/fibroids-neck
Otolaryngology ,Hearing impairment,/disease/hearing-impairment
Otolaryngology ,Laryngeal cancer,/disease/laryngeal-cancer
Otolaryngology ,Mastoiditis,/disease/mastoiditis
Otolaryngology ,Meatal atresia (narrowing),/disease/meatal-atresia-narrowing
Otolaryngology ,Meatal exostosis,/disease/meatal-exostosis
Otolaryngology ,"Middle ear congenital
                        anomaly",/disease/middle-ear-congenital-anomaly
Otolaryngology ,Middle ear defect,/disease/middle-ear-defect
Otolaryngology ,Nasal polyps,/disease/nasal-polyps
Otolaryngology ,Nasal septum deviation,/disease/nasal-septum-deviation
Otolaryngology ,Nasopharyngeal cancer,/disease/nasopharyngeal-cancer
Otolaryngology ,Nasopharyngeal tumor,/disease/nasopharyngeal-tumor
Otolaryngology ,Nose bleeding,/disease/nose-bleeding
Otolaryngology ,Oropharyngeal cancer,/disease/oropharyngeal-cancer
Otolaryngology ,Otitis media,/disease/otitis-media
Otolaryngology ,Otosclerosis,/disease/otosclerosis
Otolaryngology ,Paraganglioma,/disease/paraganglioma
Otolaryngology ,Parotid gland cancer,/disease/parotid-gland-cancer
Otolaryngology ,Parotid gland stone,/disease/parotid-gland-stone
Otolaryngology ,Protruding ears (bat ears),/disease/protruding-ears-bat-ears
Otolaryngology ,Rhinitis,/disease/rhinitis
Otolaryngology ,Salivary gland abscess,/disease/salivary-gland-abscess
Otolaryngology ,Salivary gland cancer,/disease/salivary-gland-cancer
Otolaryngology ,"Salivary gland
                        inflammation",/disease/salivary-gland-inflammation
Otolaryngology ,Salivary stone,/disease/salivary-stone
Otolaryngology ,"Sensorineural hearing
                        loss",/disease/sensorineural-hearing-loss
Otolaryngology ,Sinus tumor,/disease/sinus-tumor
Otolaryngology ,Sinusitis,/disease/sinusitis-and-rhinosinusitis
Otolaryngology ,Tinnitus,/disease/tinnitus
Otolaryngology ,Tonsil cancer,/disease/tonsil-cancer
Otolaryngology ,Tonsillar hypertrophy,/disease/tonsillar-hypertrophy
Otolaryngology ,Tracheal cancer,/disease/tracheal-cancer
Otolaryngology ,Tracheal stenosis,/disease/tracheal-stenosis
Otolaryngology ,Traumatic nose deflection,/disease/traumatic-nose-deflection
Otolaryngology ,Turbinal hyperplasia,/disease/turbinal-hyperplasia
Otolaryngology ,Tympanic membrane defect,/disease/tympanic-membrane-defect
Otolaryngology ,Vocal cord cyst,/disease/vocal-cord-cyst
Otolaryngology ,Vocal cord paralysis,/disease/vocal-cord-paralysis
Otolaryngology ,Vocal cord polyp,/disease/vocal-cord-polyp
Plastic surgery ,Abdominal obesity,/disease/abdominal-obesity
Plastic surgery ,"Abdominal rectus
                        muscle diastasis",/disease/abdominal-rectus-muscle-diastasis
Plastic surgery ,Abnormal breast areola,/disease/abnormal-breast-areola
Plastic surgery ,Acne,/disease/acne
Plastic surgery ,Advanced ring vaginal,/disease/advanced-ring-vaginal
Plastic surgery ,Alopecia,/disease/alopecia
Plastic surgery ,Basalioma,/disease/basal-cell-carcinoma
Plastic surgery ,Bedsores,/disease/bedsores
Plastic surgery ,"Benign facial skin
                        neoplasm",/disease/benign-facial-skin-neoplasm
Plastic surgery ,"Breast augmentation
                        (breast implants)",/disease/breast-augmentation-breast-implants
Plastic surgery ,Breast cancer,/disease/breast-cancer
Plastic surgery ,"Breast implants
                        capsular fibrosis",/disease/breast-implants-capsular-fibrosis
Plastic surgery ,Cheloid lip scars,/disease/cheloid-lip-scars
Plastic surgery ,Cleft lip,/disease/cleft-lip
Plastic surgery ,Cleft lip and palate,/disease/cleft-lip-and-palate
Plastic surgery ,Double chin,/disease/double-chin
Plastic surgery ,Droopy eyelid,/disease/droopy-eyelid
Plastic surgery ,"Dyshormonal breast
                        hyperplasia",/disease/dyshormonal-breast-hyperplasia
Plastic surgery ,Ear deformities,/disease/ear-deformities
Plastic surgery ,"Excessive sweating
                        (hyperhidrosis)",/disease/excessive-sweating-hyperhidrosis
Plastic surgery ,Facelift,/disease/facelift
Plastic surgery ,Gynecomastia in men,/disease/gynecomastia-in-men
Plastic surgery ,Hidradenitis suppurative,/disease/hidradenitis-suppurative
Plastic surgery ,Hypertrophy of the labia,/disease/hypertrophy-of-the-labia
Plastic surgery ,Increased vaginal,/disease/increased-vaginal
Plastic surgery ,Labia asymmetry,/disease/labia-asymmetry
Plastic surgery ,Lymphoedema,/disease/lymphoedema
Plastic surgery ,Melanoma,/disease/melanoma
Plastic surgery ,Neck lift,/disease/neck-lift
Plastic surgery ,Nose deformity,/disease/nose-deformity
Plastic surgery ,Obesity (overweight),/disease/obesity
Plastic surgery ,Rare eyelashes,/disease/rare-eyelashes
Plastic surgery ,"Sagging
                        breasts",/disease/breast-reduction-reduction-mammoplasty
Plastic surgery ,Soft facial tissue injury,/disease/soft-facial-tissue-injury
Plastic surgery ,"Soft or hard facial
                        tissue injury",/disease/soft-or-hard-facial-tissue-injury
Plastic surgery ,"Syndactyly (webbed
                        fingers or toes)",/disease/syndactyly-webbed-fingers-or-toes
Plastic surgery ,"The displacement of
                        the implant after breast augmentation",/disease/the-displacement-of-the-implant-after-breast-augmentation
Plastic surgery ,Thin lips,/disease/thin-lips
Proton therapy ,Glioblastoma (brain cancer),/disease/glioblastoma
Proton therapy ,Proton therapy,/disease/malignant-tumour
Pulmonology ,Acute bronchitis,/disease/acute-bronchitis
Pulmonology ,Bronchial asthma,/disease/bronchial-asthma
Pulmonology ,Bronchiectasis,/disease/bronchiectasis
Pulmonology ,"Chronic obstructive
                        bronchitis",/disease/chronic-obstructive-bronchitis
Pulmonology ,"Exogenous allergic
                        alveolitis",/disease/exogenous-allergic-alveolitis
Pulmonology ,Fibrosing alveolitis,/disease/fibrosing-alveolitis
Pulmonology ,Lung abscess,/disease/lung-abscess
Pulmonology ,"Mucoviscidosis (cystic
                        fibrosis)",/disease/mucoviscidosis-cystic-fibrosis
Pulmonology ,"Obstructive Sleep Apnea
                        Syndrome (OSA)",/disease/sindrom-obstruktivnogo-apnoe
Pulmonology ,Pleurisy with adhesions,/disease/pleurisy-with-adhesions
Pulmonology ,Pneumoconiosis,/disease/pneumoconiosis
Pulmonology ,Pneumonia,/disease/pneumonia
Pulmonology ,Pulmonary emphysema,/disease/pulmonary-emphysema
Pulmonology ,Pulmonary fibrosis,/disease/pulmonary-fibrosis
Pulmonology ,Pulmonary hypertension,/disease/pulmonary-hypertension
Pulmonology ,Pulmonary tuberculosis,/disease/pulmonary-tuberculosis
Pulmonology ,Sarcoidosis,/disease/sarcoidosis
Pulmonology ,Sars,/disease/sars
Pulmonology ,Silicosis,/disease/silicosis
Pulmonology ,Tracheal stenosis,/disease/tracheal-stenosis
Pulmonology ,Tracheobronchopathy,/disease/tracheobronchopathy
Radiotherapy ,"Acute lymphoblastic
                        leukemia (all)",/disease/acute-lymphoblastic-leukemia-all
Radiotherapy ,"Acute myeloid leukemia
                        (aml)",/disease/acute-myeloid-leukemia-aml
Radiotherapy ,Adrenal cancer,/disease/adrenal-gland-cancer
Radiotherapy ,Astrocytoma brain,/disease/astrocytoma-brain
Radiotherapy ,Breast cancer,/disease/breast-cancer
Radiotherapy ,"Clear cell renal
                        carcinoma",/disease/clear-cell-renal-carcinoma
Radiotherapy ,Ependymoblastoma,/disease/ependymoblastoma
Radiotherapy ,Ependymoma,/disease/ependymoma
Radiotherapy ,Epindimoma,/disease/epindimoma
Radiotherapy ,Esophageal cancer,/disease/esophageal-cancer
Radiotherapy ,"Germ cell
                        tumors of the ovary (dysgerminom)",/disease/germ-cell-tumors-of-the-ovary-dysgerminom
Radiotherapy ,"Hodgkin lymphoma
                        (hodgkin disease)",/disease/hodgkin-lymphoma-hodgkin-disease
Radiotherapy ,Infantile fibrosarcoma,/disease/infantile-fibrosarcoma
Radiotherapy ,"Juvenile
                        nasopharyngeal angiofibroma",/disease/juvenile-nasopharyngeal-angiofibroma
Radiotherapy ,Laryngeal cancer,/disease/laryngeal-cancer
Radiotherapy ,Lung cancer,/disease/lung-cancer
Radiotherapy ,Mediastinal tumor,/disease/mediastinal-tumor
Radiotherapy ,Meningioma of brain,/disease/meningioma
Radiotherapy ,"Nephroblastoma (wilms
                        tumor)",/disease/nephroblastoma-wilms-tumor
Radiotherapy ,"Neuroblastoma
                        (ganglioneyroblastoma)",/disease/neuroblastoma-ganglioneyroblastoma-stage
Radiotherapy ,Non-hodgkin lymphoma,/disease/non-hodgkin-lymphoma
Radiotherapy ,"Orbital
                        rhabdomyosarcoma",/disease/orbital-rhabdomyosarcoma-in-children
Radiotherapy ,Prostate cancer,/disease/prostate-cancer
Radiotherapy ,Retinoblastoma,/disease/retinoblastoma
Radiotherapy ,Soft tissue sarcoma,/disease/soft-tissue-sarcoma
Radiotherapy ,Testicular seminoma,/disease/testicular-seminoma
Radiotherapy ,Tracheal cancer,/disease/tracheal-cancer
"Reconstructive
        Burn Surgery ","Burn of the
                        skin (35% of the skin surface)",/disease/burn-of-the-skin-35--of-the-skin-surface
"Reproductive
        medicine ",Artificial insemination,/disease/artificial-insemination
"Reproductive
        medicine ",Female infertility,/disease/female-infertility
Rheumatology ,"Ankylosing
                        spondylitis (cervical spondylosis)",/disease/ankylosing-spondylitis-cervical-spondylosis
Rheumatology ,Behcets disease,/disease/behcets-disease
Rheumatology ,Dermatomyositis,/disease/dermatomyositis
Rheumatology ,Fibromyalgia,/disease/fibromyalgia
Rheumatology ,Gout,/disease/gout
Rheumatology ,"Juvenile rheumatoid
                        arthritis",/disease/juvenile-rheumatoid-arthritis
Rheumatology ,"Lyme disease (lyme
                        borreliosis)",/disease/lyme-disease-lyme-borreliosis
Rheumatology ,Psoriatic arthritis,/disease/psoriatic-arthritis
Rheumatology ,Raynauds disease,/disease/raynauds-disease
Rheumatology ,Rheumatoid arthritis,/disease/rheumatoid-arthritis
Rheumatology ,Scleroderma,/disease/scleroderma
Rheumatology ,Sjogren syndrome,/disease/sjogren-syndrome
Rheumatology ,Spondylosis,/disease/spondylosis
Rheumatology ,"Systemic lupus
                        erythematosus",/disease/systemic-lupus-erythematosus
Rheumatology ,Vasculitis,/disease/vasculitis
Spinal surgery ,Scoliosis,/disease/scoliosis
Surgery ,"Acute
                        pancreatitis with pancreonecrosis",/disease/acute-pancreatitis-with-pancreonecrosis
Surgery ,Anal stenosis,/disease/anal-stenosis
Surgery ,Appendicitis,/disease/appendicitis
Surgery ,"Cancer
                        of the bile duct",/disease/cancer-of-the-bile-duct-with-bile-duct-obstruction
Surgery ,Cholecystitis,/disease/cholecystitis
Surgery ,Chondroblastoma,/disease/benign-chondroblastoma
Surgery ,Chordoma,/disease/chordoma-of-the-sacrum
Surgery ,Colon cancer,/disease/colon-cancer
Surgery ,Crohns disease,/disease/crohns-disease
Surgery ,Cystocele and rectocele,/disease/cystocele-and-rectocele
Surgery ,Diverticulitis and diverticulosis,/disease/diverticulitis
Surgery ,Duodenal cancer,/disease/duodenum-cancer
Surgery ,Duodenal diverticulum,/disease/duodenal-diverticulum
Surgery ,"Encopresis (bowel
                        incontinence)",/disease/encopresis-bowel-incontinence
Surgery ,Enterocele,/disease/enterocele
Surgery ,Epigastric hernia,/disease/epigastric-hernia
Surgery ,Esophageal cancer,/disease/esophageal-cancer
Surgery ,Esophageal varices,/disease/esophageal-venous-dilation
Surgery ,Femoral hernia,/disease/femoral-hernia
Surgery ,Gastric malt lymphoma,/disease/gastric-malt-lymphoma
Surgery ,"Gastrointestinal
                        carcinoid tumors ",/disease/gastrointestinal-carcinoid-tumors
Surgery ,"Giant cell fibroblastoma
                        (gcf)",/disease/giant-cell-fibroblastoma-gcf
Surgery ,"Graves disease
                        (diffuse toxic goiter)",/disease/graves-disease-diffuse-toxic-goiter
Surgery ,"HIPEC - hyperthermic Intraperitoneal
                        chemoperfusion",/disease/hipec
Surgery ,Hairy cell leukemia,/disease/hairy-cell-leukemia
Surgery ,Hemorrhoids,/disease/hemorrhoids
Surgery ,"Hiatal hernia (hiatus
                        hernia)",/disease/hiatal-hernia-hiatus-hernia
Surgery ,Hyperparathyroidism,/disease/hyperparathyroidism
Surgery ,Infantile fibrosarcoma,/disease/infantile-fibrosarcoma
Surgery ,Infantile fibrosarcoma ,/disease/infantile-fibrosarcoma-nbsp-
Surgery ,"Inflammatory
                        bowel disease",/disease/inflammatory-bowel-disease-intestinal-perforation--multiple-fistulas--peritonitis--thrombosis-of-mesenteric-vessels
Surgery ,Inguinal hernia,/disease/inguinal-hernia
Surgery ,Insulinoma,/disease/insulinoma
Surgery ,"Juvenile
                        nasopharyngeal angiofibroma",/disease/juvenile-nasopharyngeal-angiofibroma
Surgery ,Liver abscess,/disease/liver-abscess
Surgery ,Liver cancer,/disease/liver-cancer
Surgery ,Liver echinococcus,/disease/liver-echinococcus
Surgery ,Liver metastases,/disease/liver-metastases
Surgery ,Liver necrosis,/disease/liver-necrosis
Surgery ,Mallory weiss syndrome,/disease/mallory-weiss-syndrome
Surgery ,Meckels diverticulum,/disease/meckels-diverticulum
Surgery ,"Neuroblastoma
                        (ganglioneyroblastoma)",/disease/neuroblastoma-ganglioneyroblastoma-stage
Surgery ,Nodular goiter,/disease/nodular-goiter
Surgery ,Osteochondroma,/disease/osteochondroma
Surgery ,Ovarian cancer,/disease/ovarian-cancer
Surgery ,Pancreatic cancer,/disease/pancreatic-cancer
Surgery ,Pancreatic cyst,/disease/pancreatic-cyst
Surgery ,Pancreatic pseudocyst,/disease/pancreatic-pseudocyst
Surgery ,Paraproctitis,/disease/paraproctitis
Surgery ,"Parastomal (colostomy)
                        hernia",/disease/parastomal-colostomy-hernia
Surgery ,Parathyroid adenoma,/disease/parathyroid-adenoma
Surgery ,Perforated peptic ulcer,/disease/perforated-peptic-ulcer
Surgery ,Perianal abscess,/disease/perianal-abscess
Surgery ,Perianal thrombosis,/disease/perianal-thrombosis
Surgery ,Peritoneal adhesions,/disease/peritoneal-adhesions
Surgery ,Pylorus obstruction,/disease/pylorus-obstruction
Surgery ,Rectal cancer,/disease/colorectal-cancer
Surgery ,Reflux esophagitis,/disease/reflux-esophagitis
Surgery ,Spherocytosis,/disease/spherocytosis
Surgery ,Stomach cancer,/disease/stomach-cancer
Surgery ,Stomach polyps,/disease/stomach-polyps
Surgery ,Thyroid cancer,/disease/thyroid-cancer
Surgery ,Thyroid lymphoma,/disease/thyroid-lymphoma
Surgery ,Ulcerative colitis,/disease/ulcerative-colitis
Surgery ,Umbilical hernia,/disease/umbilical-hernia
Thoracic surgery ,Bronchial stenosis,/disease/bronchial-stenosis
Thoracic surgery ,Bronchial ulcer,/disease/bronchial-ulcer
Thoracic surgery ,Bronchiectasis,/disease/bronchiectasis
Thoracic surgery ,"Bronchopleural fistula
                        (ulceration)",/disease/bronchopleural-fistula-ulceration
Thoracic surgery ,Bullous emphysema,/disease/bullous-emphysema
Thoracic surgery ,"Chest defect after
                        thoracotomy",/disease/chest-defect-after-thoracotomy
Thoracic surgery ,"Congenital
                        pediatric chest deformity (hollowed chest (pectus excavatum) or keeled chest)",/disease/congenital-pediatric-chest-deformity-hollowed-chest-pectus-excavatum-or-keeled-chest
Thoracic surgery ,Diaphragm rupture,/disease/diaphragm-rupture
Thoracic surgery ,Hemothorax,/disease/hemothorax
Thoracic surgery ,Lung abscess,/disease/lung-abscess
Thoracic surgery ,Lung cancer,/disease/lung-cancer
Thoracic surgery ,"Mediastinal
                        lymphadenopathy",/disease/mediastinal-lymphadenopathy
Thoracic surgery ,Mediastinal tumor,/disease/mediastinal-tumor
Thoracic surgery ,Mesothelioma,/disease/mesothelioma
Thoracic surgery ,Pleural empyema (abscess),/disease/pleural-empyema-abscess
Thoracic surgery ,Pneumothorax,/disease/pneumothorax
Thoracic surgery ,Pulmonary lymphoma,/disease/pulmonary-lymphoma
Thoracic surgery ,Raynauds disease,/disease/raynauds-disease
Thoracic surgery ,Thoracic aortic aneurysm,/disease/thoracic-aortic-aneurysm
Thoracic surgery ,Thymoma (thymus tumor),/disease/thymoma-thymus-tumor
Thoracic surgery ,Thymus cancer,/disease/thymus-cancer
Urology ,Adrenal cancer,/disease/adrenal-gland-cancer
Urology ,"Benign prostatic
                        hyperplasia (bph)",/disease/benign-prostatic-hyperplasia-bph
Urology ,Bladder cancer,/disease/bladder-cancer
Urology ,Bladder neck obstruction,/disease/bladder-neck-obstruction
Urology ,Bladder stones,/disease/bladder-stones
Urology ,Cancer of the bladder neck,/disease/cancer-bladder-neck
Urology ,Chronic prostatitis,/disease/chronic-prostatitis
Urology ,"Clear cell renal
                        carcinoma",/disease/clear-cell-renal-carcinoma
Urology ,Cushing disease,/disease/cushing-disease
Urology ,Cystitis,/disease/cystitis
Urology ,Epididymitis,/disease/epididymitis
Urology ,Fournier gangrene,/disease/fournier-gangrene
Urology ,Hydrocele,/disease/hydrocele
Urology ,Hypospadias,/disease/hypospadias
Urology ,Kidney abscess,/disease/kidney-abscess
Urology ,"Kidney cancer (renal
                        cell cancer)",/disease/kidney-cancer-renal-cell-cancer
Urology ,Kidney failure,/disease/chronic-or-acute-kidney-disease
Urology ,"Kidney
                        stones with hydronephrosis",/disease/hydronephrosis-with-obstruction-due-to-kidney-stones
Urology ,"Malposition
                        testis (undescended testicle, cryptorchidism)",/disease/malposition-testis-undescended-testicle--cryptorchidism
Urology ,"Nephroblastoma (wilms
                        tumor)",/disease/nephroblastoma-wilms-tumor
Urology ,Nephrosclerosis,/disease/nephrosclerosis
Urology ,Penile genital warts,/disease/penile-genital-warts
Urology ,Penis cancer,/disease/penis-cancer
Urology ,"Penis fractures
                        with urethral rupture",/disease/penis-fractures-with-urethral-rupture
Urology ,Perinephric abscess,/disease/perinephric-abscess
Urology ,Pheochromocytoma,/disease/pheochromocytoma
Urology ,Phimosis in boys,/disease/phimosis-in-boys
Urology ,Polycystic kidney disease,/disease/polycystic-kidney-disease
Urology ,Prostate cancer,/disease/prostate-cancer
Urology ,Prostate stones,/disease/prostate-stones
Urology ,Rupture of the bladder,/disease/rupture-of-the-bladder
Urology ,Spermatocystitis,/disease/spermatocystitis
Urology ,"Stress urinary
                        incontinence (men)",/disease/stress-urinary-incontinence-of-men
Urology ,"Stressful urinary
                        incontinence (women)",/disease/stressful-urinary-incontinence-women
Urology ,Testicular abscess,/disease/testicular-abscess
Urology ,Testicular cancer,/disease/testicular-cancer
Urology ,"Testicular embryonal
                        carcinoma",/disease/testicular-embryonal-carcinoma
Urology ,Testicular seminoma,/disease/testicular-seminoma
Urology ,Testicular torsion,/disease/testicular-torsion
Urology ,Testicular yolk sac tumor,/disease/testicular-yolk-sac-tumor
Urology ,"Trauma of the prostate
                        gland",/disease/trauma-of-the-prostate-gland
Urology ,Ureteral cancer,/disease/ureteral-cancer
Urology ,Ureteral polyp,/disease/ureteral-polyp
Urology ,Ureteral stricture,/disease/ureteral-stricture
Urology ,Urethral fistula,/disease/urethral-fistula
Urology ,Urethral polyp,/disease/urethral-polyp
Urology ,Urethral prolapse,/disease/urethral-prolapse-67
Urology ,Urethral rupture,/disease/urethral-rupture
Urology ,Urethral stones,/disease/urethral-stones
Urology ,Urethral stricture,/disease/urethral-stenosis
Urology ,"Urinary bladder
                        diverticulum",/disease/urinary-bladder-diverticulum
Urology ,Varicocele,/disease/varicocele
Urology ,Vas deferens inflammation,/disease/vas-deferens-inflammation
Urology ,Vesico-enteric fistula,/disease/vesico-enteric-fistula
Urology ,Vesico-vaginal fistula,/disease/vesico-vaginal-fistula
Vascular surgery ,Abdominal aortic aneurysm,/disease/aortic-aneurysm
Vascular surgery ,"Aortic aneurysm with
                        dissecting",/disease/aortic-aneurysm-with-dissecting
Vascular surgery ,Carotid artery aneurysm,/disease/carotid-artery-aneurysm
Vascular surgery ,Carotid artery stenosis,/disease/carotid-artery-stenosis
Vascular surgery ,Deep vein thrombosis (dvt),/disease/deep-vein-thrombosis-dvt
Vascular surgery ,Diabetic foot,/disease/diabetic-foot
Vascular surgery ,"Foot
                        phlegmon",/disease/foot-phlegmon-of-various-etiology-and-severity
Vascular surgery ,"Lower extremity
                        arterial disease",/disease/lower-extremity-arterial-disease
Vascular surgery ,Lymphoedema,/disease/lymphoedema
Vascular surgery ,"Mesenteric artery
                        atherosclerosis",/disease/mesenteric-artery-atherosclerosis
Vascular surgery ,Renal artery aneurysm,/disease/renal-artery-aneurysm
Vascular surgery ,Renal artery stenosis,/disease/renal-artery-stenosis
Vascular surgery ,"Upper
                        extremities atherosclerosis and stenosis of subclavian artery",/disease/upper-extremities-atherosclerosis-and-stenosis-of-subclavian-artery
Vascular surgery ,Varicose veins,/disease/varicose-veins
Vascular surgery ,"Varicose veins with
                        a trophic ulcer",/disease/varicose-veins-with-a-trophic-ulcer
